Year,Month,ProductCategory,ProductSubcategory,Product,Qty,LineTotal
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 48",4,1295.98
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-750 Black, 58",5,1619.97
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,1344.59
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,672.29
2016,10,Bikes,Road Bikes,"Road-350-W Yellow, 40",5,5102.97
2016,10,Bikes,Road Bikes,"Road-350-W Yellow, 40",5,5102.97
2016,10,Bikes,Road Bikes,"Road-350-W Yellow, 40",5,5102.97
2016,10,Bikes,Road Bikes,"Road-350-W Yellow, 40",5,5102.97
2016,10,Bikes,Road Bikes,"Road-350-W Yellow, 40",5,5102.97
2016,10,Bikes,Road Bikes,"Road-350-W Yellow, 40",5,5102.97
2016,10,Bikes,Road Bikes,"Road-350-W Yellow, 40",5,5102.97
